date,session,amount,narration,account_number,instcode,session,status,resp
15-01-2025,202501151030229374618529374610,2450.5,Transfer from Adekunle Gold to Rema Prince ref: AX109B,3100000001,8765,1,successful,1
28-04-2025,202504281145101928374650192837,150.75,TRF/WEB/John Doe to Jane Smith FOR GOODS,3100000002,8765,1,failed,0
19-07-2025,202507191201558462910374856291,5500,Debit from David Bull ref: Invoice 2025-A4,3100000003,8765,1,successful,1
3/11/2025,202511031312342837465019283746,890.2,Online Purchase from ShopRite Ikeja,3100000004,8765,1,successful,1
12/2/2025,202502121425019374618529374618,320,Payment from Mary Anne to Tunde Philips,3100000005,8765,1,failed,0
25-06-2025,202506251530491029384756102938,12000.8,Transfer/MOBILE/Seyi Vibez to Ayra Starr,3100000006,8765,1,successful,1
8/9/2025,202509081645598573625149857362,430.1,GTB transfer from Emeka Okafor to Funke Ade,3100000007,8765,1,successful,1
21-12-2025,202512211750051928374650192837,99.99,Airtime purchase for 08012345678,3100000008,8765,1,failed,0
30-03-2025,202503301805338462910374856291,650,TRF FR Burna Boy TO Omah Lay REF 846291,3100000009,8765,1,successful,1
14-08-2025,202508141915182837465019283746,18000,Zenith Bank transfer for rent payment,3100000010,8765,1,successful,1
5/5/2025,202505052020209374618529374618,25.5,USSD TRF to Blessing Chioma ref: School Fees,3100000011,8765,1,failed,0
18-10-2025,202510182135441029384756102938,9850.25,WEB Payment to Jumia Nigeria for Order #J4857,3100000012,8765,1,successful,1
27-01-2025,202501272240128573625149857362,750,Transfer from Rema Prince to Tems Baby,3100000013,8765,1,successful,1
11/6/2025,202506112355591928374650192837,3000,Mobile top-up from Self to 09087654321,3100000014,8765,1,failed,0
23-09-2025,202509230010018462910374856291,15,Data purchase from MTN Nigeria,3100000015,8765,1,successful,1
7/3/2025,202503070125082837465019283746,45000.9,TRF FR Wizkid Ayo TO Tiwa Savage REF 283746,3100000016,8765,1,successful,1
20-07-2025,202507200230309374618529374618,880,Access Bank transfer to Olaoluwa James,3100000017,8765,1,failed,0
1/12/2025,202512010345551029384756102938,1250.7,Payment to DSTV for subscription renewal,3100000018,8765,1,successful,1
13-04-2025,202504130450198573625149857362,500,UBA Mobile TRF to Chioma Nwosu,3100000019,8765,1,successful,1
26-08-2025,202508260505051928374650192837,6200,First Bank TRF from Self to Femi Adebayo,3100000020,8765,1,failed,0
9/2/2025,202502090615158462910374856291,2200,TRF FR Tems Baby TO Wizkid Ayo REF 846291,3100000021,8765,1,successful,1
22-06-2025,202506220720202837465019283746,75,Bill Payment - Ikeja Electric Postpaid,3100000022,8765,1,successful,1
4/10/2025,202510040830309374618529374618,300,Cash transfer to Musa Ibrahim,3100000023,8765,1,failed,0
17-01-2025,202501170945451029384756102938,1999.99,Konga online shopping order #KNG-8372,3100000024,8765,1,successful,1
2/7/2025,202507021050508573625149857362,480.6,TRF/USSD/Omah Lay to Self,3100000025,8765,1,successful,1
15-11-2025,202511151105051928374650192837,50,Donation to Charity Foundation via Web,3100000026,8765,1,failed,0
28-03-2025,202503281210108462910374856291,10500,Transfer from Ayra Starr to Burna Boy,3100000027,8765,1,successful,1
10/9/2025,202509101320202837465019283746,680,TRF to Olamide Baddo for services rendered,3100000028,8765,1,successful,1
24-02-2025,202502241430309374618529374618,950,Payment for Bolt ride REF: 8472910,3100000029,8765,1,failed,0
6/8/2025,202508061545451029384756102938,2000,Transfer to Sisi Yemmie for catering,3100000030,8765,1,successful,1
19-12-2025,202512191650508573625149857362,350,TRF FR Tunde Ednut TO Papaya Ex REF 857362,3100000031,8765,1,successful,1
1/4/2025,202504011701011928374650192837,120,Bet9ja wallet funding,3100000032,8765,1,failed,0
14-07-2025,202507141811118462910374856291,8000,Transfer from Self to Broda Shaggi,3100000033,8765,1,successful,1
27-11-2025,202511271922222837465019283746,450,TRF to Sabinus for content creation,3100000034,8765,1,successful,1
11/3/2025,202503112033339374618529374618,5000,Wema Bank transfer from Macaroni Debo,3100000035,8765,1,failed,0
24-08-2025,202508242144441029384756102938,720,Payment for groceries at Ebeano Supermarket,3100000036,8765,1,successful,1
8/1/2025,202501082255558573625149857362,1300,TRF from Lasisi Elenu to Woli Arole,3100000037,8765,1,successful,1
21-05-2025,202505212305051928374650192837,90,Airtime Top-up for 07098765432,3100000038,8765,1,failed,0
3/10/2025,202510030015158462910374856291,600,Transfer to Taaooma for skit production,3100000039,8765,1,successful,1
16-03-2025,202503160125252837465019283746,1800,TRF from Kiekie to Bimbo Ademoye,3100000040,8765,1,successful,1
